Bug ID,Bug Fix Commit Hash,Date of Commit
PDFBOX-904,e4c994279192c0c81c0eb8be73a840bf124a43f7,2014-11-23T18:10:15+00:00
PDFBOX-907,d41cbf92b2b6c994405628920470744bdb8e9661,2010-12-02T19:41:13+00:00
PDFBOX-908,b288eea75a7f3845c6aa89a859b9719beae0eb1b,2014-06-09T13:38:27+00:00
PDFBOX-908,953a4386f07bd7f95f1fd1ee43f10e41051f9bf5,2014-06-09T13:28:57+00:00
PDFBOX-50,e005c43d4fb9324b8f001e18201d91cb26fbcc7d,2010-08-27T16:32:13+00:00
PDFBOX-50,7edb7c64c13740b3019435b47ecddaee60acc8e0,2010-01-28T20:48:24+00:00
PDFBOX-50,fa74b71c8d91f238bc02bf47e2936be6c7d56671,2010-01-28T19:42:11+00:00
PDFBOX-50,42e495ba0cdf8c8166f1e0a985871efaaf22ff9e,2010-01-26T21:02:10+00:00
PDFBOX-50,69ee7931962e8bea67041dd3d33137fedb31b250,2009-09-01T17:20:31+00:00
PDFBOX-50,078f324843d3417548d38d2a51243f534bfc5c31,2009-08-28T13:11:12+00:00
PDFBOX-50,4a9ac495986d6d9d6623d55357411af9b6977d11,2009-08-28T13:06:21+00:00
PDFBOX-902,fb9ab33a4943741ad165de2036128946d17e58b2,2010-11-23T17:50:20+00:00
PDFBOX-900,da0f08da7d8e9458ed10fe06372c8b15eb5e13a0,2010-11-23T22:09:23+00:00
PDFBOX-900,b93c13c466251364a4fee9ac39896789f324e9a6,2010-11-23T17:35:34+00:00
PDFBOX-3742,6e85770f18370a89b822d98e0cfe7979ff78e0ee,2017-04-02T09:41:29+00:00
PDFBOX-2411,7945016ba07d2b6cb73a66f83d86f068b8c0bb42,2014-10-20T18:05:17+00:00
PDFBOX-3743,a46a88dbd3189de0892019c0007150c9e5c93169,2017-04-04T15:37:22+00:00
PDFBOX-2896,280ef34ef631ceec0fcbc1fb956e9f0ff95a5d2f,2015-07-22T11:07:20+00:00
PDFBOX-2896,50cbd48877f3f75ed651cf720b28181cd173bfcd,2015-07-21T16:53:54+00:00
PDFBOX-2896,e9a1176a31bea29c40a4ba67567556e195aa94b3,2015-07-21T16:30:05+00:00
PDFBOX-2896,d95828a80128552867b6f36cac752515a2427bb5,2015-07-21T16:28:51+00:00
PDFBOX-2896,e6a40ae0a87a872e8f12ecfc68c39aee14da272e,2015-07-21T16:25:43+00:00
PDFBOX-2896,27d9387f3cae9312eb238c0f64930b9915917a06,2015-07-21T07:58:41+00:00
PDFBOX-2412,322b064e2942f157316da0a4e110e5beb6999795,2014-11-02T13:36:43+00:00
PDFBOX-3740,4962b1f023c2bc7f2ce3ade7a016208ab5678250,2017-04-02T15:49:23+00:00
PDFBOX-3741,7df2e256dc9676be65b3cc8d46dcf31a3b525b5a,2017-04-04T16:10:55+00:00
PDFBOX-1561,6afd14937260f9ee49da901e03bd7b5f3a1e8972,2013-04-18T20:46:53+00:00
PDFBOX-2419,f8831dfe7be348caafb2961e5a2ccdf0b0d0e543,2014-11-02T14:45:09+00:00
PDFBOX-51,cf438cea428f3fdcae890be20f445645aa68ad21,2010-06-09T18:08:44+00:00
PDFBOX-51,90514f93d000c1517865f03daf01c8b1a3bf2e80,2010-03-28T15:57:41+00:00
PDFBOX-51,93e6136929ed9aedb2ae2b0440c7635fc56dee44,2010-02-07T15:57:23+00:00
PDFBOX-51,0eb95ae996f9f08a9ab9b72c713c7997fa883c85,2009-09-14T11:32:40+00:00
PDFBOX-51,a686ff80f25bb008b48bc0b3352e45b0df41a51c,2009-09-14T10:24:35+00:00
PDFBOX-51,e9d61f90c70b2838d71217577f1fec866c83d5fc,2009-09-14T10:11:15+00:00
PDFBOX-51,33e054dab6414821faa44a3a4a9d98dd14a8b601,2009-09-14T09:14:34+00:00
PDFBOX-51,628f64ad01b47af77ccffb00acaab1c483ca3fc1,2009-09-13T14:56:39+00:00
PDFBOX-51,24da7df957cf60031a9ec501e8512ce97b4a0696,2009-09-13T14:40:03+00:00
PDFBOX-51,91a2b5768c3cb0f4cb1753e526b40ee20c5bab71,2009-09-03T17:00:08+00:00
PDFBOX-51,9ffc6c1c2a28dd3fa0d4b989b0d9471551819c2f,2009-02-01T10:58:48+00:00
PDFBOX-3748,1e37a1046ce8c3c662db42a69470725ae82914ea,2017-04-07T16:25:43+00:00
PDFBOX-2417,0cf0a07b66ce89214f1e4c16440606f5ad660d0f,2014-10-29T07:41:54+00:00
PDFBOX-2417,889c66aa93908acc39545fec3822a9633e7f0ad8,2014-10-19T11:32:06+00:00
PDFBOX-53,4bc584c0ba10d304816bc6e4c1e4baef877ef051,2014-08-04T19:23:47+00:00
PDFBOX-53,d9d1db3681b183aaa21b687cf21f442955cd9e04,2010-05-16T16:11:36+00:00
PDFBOX-53,7d1a29a8a8f9fb7373dca0a55ec166ee3a90bef3,2010-02-10T19:04:15+00:00
PDFBOX-53,d2ecb894c5ed140ca444be7d339a0aaf62794c84,2010-02-10T18:59:58+00:00
PDFBOX-53,dd3b919e7614422e57eca555e85e05379165ea81,2009-10-05T17:19:18+00:00
PDFBOX-53,5735256b020aaff854a064ca730cb455dc636dd5,2009-09-14T15:05:31+00:00
PDFBOX-2418,0cf0a07b66ce89214f1e4c16440606f5ad660d0f,2014-10-29T07:41:54+00:00
PDFBOX-54,fb72e5c337c9c71af3d1d0bd341bc3b01c3284d2,2014-06-09T19:35:28+00:00
PDFBOX-54,f29c051bf505b95319ad69564ad2b36005e05b86,2010-02-11T13:30:28+00:00
PDFBOX-54,a29af31a83d103176be3da13c774b4448132f0d5,2010-02-11T13:28:45+00:00
PDFBOX-54,ab2200a8faf4a8ce9217d8ebcab963dceee134d4,2010-02-11T13:07:53+00:00
PDFBOX-54,e908d61adf700d1208fb021995babcfee10adcd4,2010-02-10T17:43:03+00:00
PDFBOX-54,617d6f1b8e4fbdbda770e3ae3dd333e2a889a471,2010-02-09T01:15:00+00:00
PDFBOX-54,6a90e677c14bd3f29e61f6c92654d8410688b80b,2010-02-09T01:01:41+00:00
PDFBOX-54,54bace075fb1f55b981da1dd1cfe29e924478eba,2010-02-09T00:32:52+00:00
PDFBOX-54,48ebad1bf0b977733641c66de9226571af8f11a6,2010-02-08T23:53:29+00:00
PDFBOX-54,f71188a1dbd281b6e2fc598b84d7bd6cc87fd989,2010-02-08T21:23:52+00:00
PDFBOX-54,cbdfaf31d709cdb3421394b66f3efd430c7aa4f3,2010-02-08T00:42:24+00:00
PDFBOX-54,4b1313af0100442ecb72f69e859aae6806364d63,2010-01-15T14:03:48+00:00
PDFBOX-54,f7a64d3bdcfd4ad85bc02c59e30a8ceccee15d84,2009-12-11T19:46:15+00:00
PDFBOX-54,1fc229df68b4c120ea82a84e2b6de3aedecf2f78,2009-12-11T14:24:41+00:00
PDFBOX-54,2ec88e19a8dd15c117f9fb1d83e4d5c55c40a481,2009-12-11T14:13:34+00:00
PDFBOX-54,5b04dc99de9825585861d336c921908257d986f6,2009-12-11T14:10:39+00:00
PDFBOX-54,0e565b9cd8b88b845a5e40d9f46571c4d52c7a5c,2009-12-11T12:25:15+00:00
PDFBOX-54,1d91d8d19bb1e3ff776ed47378c99ce60429946e,2009-11-01T18:58:06+00:00
PDFBOX-54,89940264d8b286e8720e2ce6c1a2ba527ba0f732,2009-10-27T18:14:19+00:00
PDFBOX-2899,02fde2199bb0ed084883d0e8f7ead9a8ff06592a,2015-07-29T16:38:22+00:00
PDFBOX-2899,4b22f709c1cab0b083f97389ee5d3c89622f5a58,2015-07-28T20:24:49+00:00
PDFBOX-55,a38580db7b5f0cf9b1c6f3ef9a2e79ddb3dd94e2,2010-09-21T20:18:19+00:00
PDFBOX-55,052d878b2be184a2805583d02a1fc8dc96453793,2010-09-21T15:40:52+00:00
PDFBOX-55,07d15ba5ebf33a2f2e15645c6dcb4e82af2c43a6,2010-02-09T00:14:28+00:00
PDFBOX-55,09ec44d3347bbc2f20d6ee9b0e8413ec9036e0cc,2009-12-01T19:29:22+00:00
PDFBOX-55,428f3a256f9d845a50e23ad1778e52c988cadecb,2009-11-11T17:11:33+00:00
PDFBOX-55,e56d767c23f241e8e147b05894681e10fbf18917,2009-11-01T18:55:07+00:00
PDFBOX-55,5aadbc34397f6c700e0b6037954896d35fd74ba5,2009-11-01T14:50:18+00:00
PDFBOX-3747,dc3b6ac7837fd1f4604fe50804acaa09362b2442,2017-04-07T16:00:41+00:00
PDFBOX-3747,a6f3f6289d835ee803ba9df6f14c9eefcb14725f,2017-04-06T16:52:01+00:00
PDFBOX-2416,645552d2f6c86a3baa146416a6674885b742cfe6,2014-10-28T18:43:01+00:00
PDFBOX-3745,310716029f396a0602d0551db4f75a8e37cc69e7,2017-04-06T17:04:04+00:00
PDFBOX-2898,8e1df50f5fd88da7bb1c0a72f91034f6915fc2a0,2015-07-21T16:24:17+00:00
PDFBOX-1568,4c5fa2f456eb3ea431e3764a813833eeea16bc32,2013-05-04T16:44:30+00:00
PDFBOX-58,f91e71492b59a3da7728bf7967be53871c72003e,2011-12-26T16:09:15+00:00
PDFBOX-58,0ab2633250122a367d6a55ef4700bdc58e39537c,2011-01-11T18:15:18+00:00
PDFBOX-58,206e4885cf79b5d6f68bc83cc45ac5bebfb4a2a5,2010-04-05T17:15:44+00:00
PDFBOX-58,dde6838b79d425d29bfc4547bcfe5c56657e5073,2010-03-28T14:29:27+00:00
PDFBOX-58,2657243df14ec6db5e3402a59985de05df71fcfa,2010-01-06T21:15:24+00:00
PDFBOX-58,5a69ad682cd8fc4a78a415ab7cd5b8b9161dded6,2010-01-05T07:00:05+00:00
PDFBOX-58,9be4b1eb9613043200fabecaf408d44a4c32341f,2010-01-03T18:22:13+00:00
PDFBOX-58,15552f1c201952ede932a3e1e998400f1341384e,2009-12-18T18:47:43+00:00
PDFBOX-58,144117d1117b35817ff0657aa380ff94b6274d76,2009-12-10T23:27:13+00:00
PDFBOX-58,a69a985d05c407afce46978cf997db6f5e2ba56c,2009-12-08T14:14:58+00:00
PDFBOX-58,70862e84577cd2917df0772c2f10feb95fb5c78e,2009-12-08T12:43:15+00:00
PDFBOX-60,7976bd14f10476d1679035ee9ac4acb80b4d368b,2012-01-04T12:01:44+00:00
PDFBOX-60,bebcaba65ef3737fa12af54892268b037f4cbced,2011-01-08T14:46:55+00:00
PDFBOX-60,a1a44d3824a6c8eb4e3f49a41c751613df096619,2010-09-03T12:09:56+00:00
PDFBOX-60,ee2075e24cf2e46b52672aa8c37490bd1a083c3c,2010-01-31T18:54:16+00:00
PDFBOX-60,ad825d9f311d4161f6c6bc4267e23313c9bfa1fb,2010-01-20T09:43:55+00:00
PDFBOX-60,58a1693e93764583113e5b64255e0d7911175bd6,2010-01-15T20:48:18+00:00
PDFBOX-60,c42816ce4258d5be0846bfa3ed1ac44c32d00365,2010-01-15T20:45:29+00:00
PDFBOX-60,404ad4b4e69807b10011bca1cd25845f2c818c22,2010-01-15T20:43:48+00:00
PDFBOX-60,e7ba4116a6dcf21589563556160c0eed673aec7a,2010-01-15T20:41:13+00:00
PDFBOX-60,8b04eb5473b003dbed76eebdee2c08b8c06a31d3,2010-01-15T20:38:12+00:00
PDFBOX-60,39926c8b2389deacc71ab56b1ac78b9cb6f9645c,2010-01-14T23:36:55+00:00
PDFBOX-60,4d81e584e27e04fad70f17f8550e50ff0da636bf,2010-01-14T23:33:22+00:00
PDFBOX-60,459c1401e2ebd5cec35637e199fbad7dfc0749a0,2010-01-14T23:14:38+00:00
PDFBOX-60,5535f47c1d8081cee6eadcb14d133ce727452b91,2010-01-14T22:56:56+00:00
PDFBOX-61,597c2ec4fa01660bdbfad1b567662cc8b2407691,2014-02-01T15:27:57+00:00
PDFBOX-61,87b737537fa4db17140bf6ad29e695b1fc451584,2014-01-31T18:25:03+00:00
PDFBOX-61,3ecbfcf5c2935b82ecbcb4fd13a1d1dd8037eac2,2014-01-30T18:54:18+00:00
PDFBOX-61,fa47b102ab8cb52b3ca9ad46d996444b35320e63,2012-02-08T18:37:37+00:00
PDFBOX-61,8d6b2cc8acb306d1924de0474a05daef307dadae,2012-02-01T22:30:47+00:00
PDFBOX-61,e3560a78496fa2d2ad05bdb0ffaf88d7c92cfcb5,2012-02-01T20:37:39+00:00
PDFBOX-61,37c92de39f3dc93b846821c2c5f69cb259c6e5b9,2012-01-26T19:31:33+00:00
PDFBOX-61,7f29584168ecde6751a825f90516b2637ed52983,2012-01-24T18:07:11+00:00
PDFBOX-61,9cef134d802594c936a684c11690adfe370ffd8d,2012-01-22T13:13:39+00:00
PDFBOX-61,60be6d745fd226f79c4f472b5eecad0d186766f4,2011-08-25T17:47:49+00:00
PDFBOX-61,11983ec4bd0e570165e275c17852630fba8e6e82,2011-08-25T16:34:41+00:00
PDFBOX-61,94a934f3878e525995d4eeb417370ef3186d539a,2010-03-23T19:32:25+00:00
PDFBOX-61,f7d880936e73d4432f1b37097d0e3d7ac28acf79,2010-03-07T18:00:27+00:00
PDFBOX-61,fb86275eff8440eaf396f76e92094525dbfc7ec2,2010-02-25T16:51:29+00:00
PDFBOX-61,bf085899c89a1413e1d716b6da8c47eae123fb4c,2010-02-10T03:27:44+00:00
PDFBOX-61,df91b0df8f35c82b24f511faabea7cb76f529963,2009-04-01T14:32:54+00:00
PDFBOX-910,9b25f2f5e955794ae2b51f777c0dd43e487cff0d,2010-11-29T18:30:17+00:00
PDFBOX-3753,4bd792d1e536f338c35c56e7f4c93cd3050a31b6,2017-04-14T19:24:32+00:00
PDFBOX-2422,08efd98d756a33f941c78dbff814b4e3bf83d2eb,2014-10-14T04:24:18+00:00
PDFBOX-1574,37d6fe75452a12b60fe8dbd6b5dfc2f0b5a99027,2014-11-02T13:05:35+00:00
PDFBOX-3754,fd3db5d5c8d6249d9c26fba9fcfd6f45455be2de,2017-04-12T17:15:16+00:00
PDFBOX-3751,e5a373cb269a4d4df7e7fc51afb195dac82c4a14,2017-05-11T13:28:00+00:00
PDFBOX-2420,58559cb874fb5b6ff74c85b1ec077abec1d89d44,2016-08-11T16:40:18+00:00
PDFBOX-1576,f6c5ed3e5f039ac63da7bf73df3a6a254f6c6039,2013-10-07T18:07:21+00:00
PDFBOX-3752,3dd6ea2c20ff9811e902b764ad88bb9d2293ebd0,2017-04-14T20:29:37+00:00
PDFBOX-2421,f8cfad2c88fdcf189e5335d2a1aaa8336922caa8,2014-12-16T18:45:55+00:00
PDFBOX-3750,7eeb781e3720ac016eddae7a7dc0387b7c547153,2017-04-13T16:15:18+00:00
PDFBOX-62,77c556e542d40e427021bb183f0dd684956cc8bc,2014-06-07T15:04:21+00:00
PDFBOX-62,31208e350956fdb93102ebc925adad5a14e9f713,2014-06-05T20:59:05+00:00
PDFBOX-62,40ebb045dacf5afe189da644fa16991fdec03e92,2014-06-05T16:48:02+00:00
PDFBOX-62,a2fd8ddeae828de6a8918d8df72e534b150412b5,2014-06-03T20:22:02+00:00
PDFBOX-62,391a345f7ea838377792f3d214ed01c726be1726,2010-06-03T11:08:08+00:00
PDFBOX-62,62f487739cc2c4fdaa6ed15e302629d4f8d4a818,2010-03-30T17:52:50+00:00
PDFBOX-62,1558daf815b6d93d42730a5b1d77b6cadd5c100e,2010-03-28T17:57:19+00:00
PDFBOX-62,11b6535639da9c62ea873f4d88f97311e895342f,2010-03-19T17:44:01+00:00
PDFBOX-62,a932c25004508b19b3c9971d96afe2fd84a59a95,2010-03-18T15:13:02+00:00
PDFBOX-62,67e02405a8f242c8d9e77c135af57f6716671379,2010-03-07T16:00:51+00:00
PDFBOX-62,75479bf492f5ab13c2faf45f9acba6f895917c2e,2010-02-23T22:55:15+00:00
PDFBOX-62,e3ec64ae9d68067a5083793d0181c70f61aac329,2010-02-23T22:01:47+00:00
PDFBOX-62,a304d628fc88a3d897920cd9eded55507dcbbb91,2010-02-22T22:30:15+00:00
PDFBOX-62,fbf6150057c99c2835690275f8e83b6c7141809d,2010-02-22T17:48:18+00:00
PDFBOX-62,95a5998df918babcf4b83160d1309dcc68182788,2010-02-20T18:30:41+00:00
PDFBOX-4608,f34482c4ceab1d5bf740fb20326eef8fdaf9b630,2019-07-25T04:23:11+00:00
PDFBOX-4607,25aeaea53dd75ce835b964f0d04e1437aaa29e80,2019-07-25T16:54:27+00:00
PDFBOX-4607,828770d70b9861f18f0e164a876a8fbd678860e4,2019-07-25T16:37:10+00:00
PDFBOX-2429,3063e87a4c4628e7fd20fcfd6212ec9541003ebf,2014-10-14T19:18:56+00:00
PDFBOX-3757,b9f049e7469ec8ac8399c4a713bcda4450ebb02b,2017-04-18T16:30:53+00:00
PDFBOX-2426,4f6287dd26415feec03b31417b4f41584fcb0d79,2014-10-14T04:27:17+00:00
PDFBOX-4604,40a7a3df250b749aaa75d90060cd424ac3469762,2019-07-24T16:03:49+00:00
