Project Key,Repo,Number of Commits Analyzed,Number of Files in Last Release Analyzed,Number Files Across Releases Analyzed (num rows in metrics file),Percent of Java Files Across Releases Analyzed,Total Releases,Releases Analyzed,C/L Bugs with No AV Problems,Total C/L Bugs,Percent C/L Bugs without AV,Percent C/L Bugs with AV after Ticket Creation,Percent of C/L Bugs with a Problem
CAMEL,https://github.com/apache/camel.git,51453,16866,681228,0.6288217747949292,125,63,2643,3322,0.170981337,0.033413606,0.204394943
CAY,https://github.com/apache/cayenne.git,7383,3430,54767,0.7727281026895758,31,16,271,611,0.363338789,0.193126023,0.556464812
COCOON,https://github.com/apache/cocoon.git,23099,3803,93845,0.331056529383558,28,14,121,197,0.192893401,0.192893401,0.385786802
CONFIGURATION,https://github.com/apache/commons-configuration.git,3834,374,2805,0.5871657754010695,20,10,172,229,0.240174672,0.008733624,0.248908297
IO,https://github.com/apache/commons-io.git,2373,226,1123,0.7471059661620659,15,8,112,153,0.267973856,0,0.267973856
LANG,https://github.com/apache/commons-lang.git,6021,283,2731,0.829732698645185,24,12,279,413,0.300242131,0.024213075,0.324455206
MATH,https://github.com/apache/commons-math.git,7296,1317,6292,0.8690400508582327,16,8,273,456,0.390350877,0.010964912,0.401315789
NET,https://github.com/apache/commons-net.git,2294,215,1709,0.8894090111176126,18,9,150,199,0.246231156,0,0.246231156
CONTINUUM,https://github.com/apache/continuum.git,7174,1162,11339,0.3545286180439192,30,15,363,568,0.327464789,0.033450704,0.360915493
COUCHDB,https://github.com/apache/couchdb.git,14628,80,2618,0.0,27,14,235,563,0.53285968,0.04973357,0.58259325
CRUNCH,https://github.com/apache/crunch.git,1251,635,3726,0.8008588298443371,15,8,132,266,0.503759398,0,0.503759398
CXF,https://github.com/apache/cxf.git,30871,8540,351502,0.6074588480293142,89,45,2273,2966,0.210384356,0.023263655,0.233648011
DELTASPIKE,https://github.com/apache/deltaspike.git,2391,1836,22586,0.8526078101478792,33,17,256,294,0.129251701,0,0.129251701
DERBY,https://github.com/apache/derby.git,11037,4472,56891,0.56490481798527,30,15,1040,1640,0.126219512,0.239634146,0.365853659
DIRSERVER,https://github.com/apache/directory-server.git,13350,2210,30539,0.854415665214971,40,20,256,418,0.145933014,0.241626794,0.387559809
DIRSTUDIO,https://github.com/apache/directory-studio.git,5975,4678,51979,0.3124531060620635,27,14,286,323,0.111455108,0.003095975,0.114551084
FELIX,https://github.com/apache/felix.git,38354,7072,1032539,0.6386644959657698,397,199,1543,2317,0.267155805,0.066896849,0.334052654
FLINK,https://github.com/apache/flink.git,23278,6624,95368,0.7742114755473534,48,24,949,2882,0.540596808,0.130117974,0.670714781
FLUME,https://github.com/apache/flume.git,2608,731,2882,0.7855655794587092,16,8,247,645,0.6,0.017054264,0.617054264
GROOVY,https://github.com/apache/groovy.git,29325,2905,154786,0.43219024976419057,157,79,2424,3025,0.185123967,0.013553719,0.198677686
HADOOP,https://github.com/apache/hadoop-common.git,33973,5915,407942,0.8388202244436709,134,67,537,1266,0.301737757,0.274091627,0.575829384
HTTPCLIENT,https://github.com/apache/httpcomponents-client.git,3730,659,20337,0.8983134188916753,77,39,363,451,0.179600887,0.015521064,0.195121951
HTTPCORE,https://github.com/apache/httpcomponents-core.git,3898,659,13953,0.8859026732602308,56,28,147,180,0.183333333,0,0.183333333
IGNITE,https://github.com/apache/ignite.git,32162,8024,61928,0.8238599664126082,22,11,1239,2357,0.454815443,0.019516334,0.474331778
IMPALA,https://github.com/apache/impala.git,9587,1837,18312,0.16175185670598516,38,19,1246,2189,0.375057104,0.055733212,0.430790315
ISIS,https://github.com/apache/isis.git,11353,6367,120433,0.6243803608645471,37,19,314,358,0.117318436,0.005586592,0.122905028
IVY,https://github.com/apache/ant-ivy.git,3330,1414,16096,0.31660039761431413,30,15,446,528,0.130681818,0.024621212,0.15530303
JCR,https://github.com/apache/jackrabbit.git,13375,3511,273469,0.8537567329386512,186,93,801,1388,0.378242075,0.044668588,0.422910663
OAK,https://github.com/apache/jackrabbit-oak.git,24829,3460,279444,0.8765011952305292,226,113,753,2118,0.631255902,0.013220019,0.644475921
JCLOUDS,https://github.com/apache/jclouds.git,12316,53,53727,0.8083086716176224,22,11,236,291,0.12371134,0.065292096,0.189003436
JDO,https://github.com/apache/db-jdo.git,1889,4952,24597,0.7528966947188681,11,6,101,255,0.6,0.003921569,0.603921569
JSPWIKI,https://github.com/apache/jspwiki.git,9074,1078,12380,0.5067851373182553,24,12,178,253,0.264822134,0.031620553,0.296442688
JUDDI,https://github.com/apache/juddi.git,3049,1078,12299,0.6572892105049191,32,16,219,417,0.455635492,0.019184652,0.474820144
KAFKA,https://github.com/apache/kafka.git,9684,1853,20758,0.45115136332980055,34,17,945,1915,0.428198433,0.078328982,0.506527415
KARAF,https://github.com/apache/karaf.git,18606,1874,80255,0.5655473179241168,114,57,751,1286,0.291601866,0.124416796,0.416018663
KYLIN,https://github.com/apache/kylin.git,9767,1905,29841,0.4656010187326162,32,16,373,982,0.604887984,0.015274949,0.620162933
LOG4J2,https://github.com/apache/logging-log4j2.git,11449,1610,19964,0.7398316970546984,40,20,607,685,0.110948905,0.002919708,0.113868613
MAHOUT,https://github.com/apache/mahout.git,4379,1422,11962,0.8937468650727303,19,10,293,451,0.323725055,0.026607539,0.350332594
MARMOTTA,https://github.com/apache/marmotta.git,2431,2083,6318,0.6035137701804368,8,4,106,161,0.322981366,0.01863354,0.341614907
MNG,https://github.com/apache/maven.git,12454,1583,37785,0.4283181156543602,55,28,620,914,0.239606127,0.082056893,0.32166302
MASSEMBLY,https://github.com/apache/maven-assembly-plugin.git,2869,1139,8830,0.3099660249150623,24,12,141,212,0.245283019,0.089622642,0.33490566
DOXIA,https://github.com/apache/maven-doxia.git,1888,498,3908,0.6560900716479018,17,9,118,177,0.299435028,0.033898305,0.333333333
MJAVADOC,https://github.com/apache/maven-javadoc-plugin.git,1062,110,1182,0.6032148900169205,24,12,121,168,0.279761905,0,0.279761905
MRELEASE,https://github.com/apache/maven-release.git,1017,890,8799,0.1628594158427094,21,11,108,184,0.407608696,0.005434783,0.413043478
SCM,https://github.com/apache/maven-scm.git,2115,1327,10856,0.6266580692704495,25,13,206,268,0.22761194,0.003731343,0.231343284
SUREFIRE,https://github.com/apache/maven-surefire.git,3032,932,10919,0.6490521109991757,44,22,304,450,0.308888889,0.015555556,0.324444444
DIRMINA,https://github.com/apache/mina.git,4214,549,11244,0.8270188545001779,58,29,179,216,0.097222222,0.074074074,0.171296296
MYFACES,https://github.com/apache/myfaces.git,6394,1989,43796,0.712622157274637,65,33,736,1053,0.262108262,0.038936372,0.301044634
TOBAGO,https://github.com/apache/myfaces-tobago.git,11646,2034,87079,0.4847092869693037,98,49,463,600,0.215,0.013333333,0.228333333
TRINIDAD,https://github.com/apache/myfaces-trinidad.git,5997,4172,99434,0.3619586861636865,51,26,500,801,0.20474407,0.171036205,0.375780275
NUTCH,https://github.com/apache/nutch.git,3791,686,15377,0.37178903557260845,31,16,331,478,0.209205021,0.09832636,0.307531381
ODE,https://github.com/apache/ode.git,5656,2418,14203,0.49447299866225447,13,7,214,315,0.279365079,0.041269841,0.320634921
OFBIZ,https://github.com/apache/ofbiz-framework.git,26809,9598,104263,0.1655237236603589,26,13,2109,2558,0.173573104,0.001954652,0.175527756
OLINGO,https://github.com/apache/olingo-odata4.git,1841,2473,32540,0.7510755992624463,27,14,161,231,0.16017316,0.142857143,0.303030303
OPENEJB,https://github.com/apache/openejb.git,24188,4556,46285,0.7187425731878578,23,12,134,340,0.314705882,0.291176471,0.605882353
OPENJPA,https://github.com/apache/openjpa.git,7207,4133,42451,0.899837459659372,32,16,612,878,0.201594533,0.101366743,0.302961276
OPENMEETINGS,https://github.com/apache/openmeetings.git,4590,1123,20714,0.5049242058511152,35,18,255,318,0.08490566,0.113207547,0.198113208
OWB,https://github.com/apache/openwebbeans.git,4088,1691,33619,0.773461435497784,48,24,370,532,0.218045113,0.086466165,0.304511278
PDFBOX,https://github.com/apache/pdfbox.git,12602,1386,31221,0.6970308446238109,49,25,1075,1631,0.110361741,0.230533415,0.340895156
PIG,https://github.com/apache/pig.git,5098,1978,19644,0.7629301567908776,24,12,633,1632,0.473651961,0.138480392,0.612132353
PLUTO,https://github.com/apache/portals-pluto.git,3311,929,5957,0.5892227631358066,22,11,123,225,0.4,0.053333333,0.453333333
