Key,Number of C/L Bugs w/ No Probs,Number of Releases,Number of Closed and Linked Bugs,Number of C/L Bugs with no AV,Percent of C/L Bugs with no AV,Number of C/L Bugs with First AV after Ticket Creation,Percent of C/L Bugs with First AV after Ticket Creation,Number of C/L Bugs with a Problem,Percent of C/L Bugs with a Problem
MANTTASKS,40,9,50,9,0.18,1,0.02,10,0.2
MPIR,72,17,90,16,0.177777778,2,0.022222222,18,0.2
MRESOURCES,24,14,30,6,0.2,0,0,6,0.2
CAMEL,2643,125,3322,568,0.170981337,111,0.033413606,679,0.204394943
BIGTOP,735,14,936,191,0.204059829,10,0.010683761,201,0.21474359
BEANUTILS,72,16,92,20,0.217391304,0,0,20,0.217391304
ARCHETYPE,70,18,90,20,0.222222222,0,0,20,0.222222222
TOBAGO,463,98,600,129,0.215,8,0.013333333,137,0.228333333
MPLUGIN,84,22,109,25,0.229357798,0,0,25,0.229357798
SCM,206,25,268,61,0.22761194,1,0.003731343,62,0.231343284
CXF,2273,89,2966,624,0.210384356,69,0.023263655,693,0.233648011
MENFORCER,47,16,62,14,0.225806452,1,0.016129032,15,0.241935484
NET,150,18,199,49,0.246231156,0,0,49,0.246231156
CONFIGURATION,172,20,229,55,0.240174672,2,0.008733624,57,0.248908297
MWAR,55,19,74,19,0.256756757,0,0,19,0.256756757
AMQ,1662,57,2248,534,0.237544484,52,0.023131673,586,0.260676157
IO,112,15,153,41,0.267973856,0,0,41,0.267973856
DISPATCH,353,21,485,109,0.224742268,23,0.04742268,132,0.272164948
MPMD,49,25,68,19,0.279411765,0,0,19,0.279411765
MJAVADOC,121,24,168,47,0.279761905,0,0,47,0.279761905
MCHANGES,65,17,91,25,0.274725275,1,0.010989011,26,0.285714286
MDEPLOY,25,13,35,10,0.285714286,0,0,10,0.285714286
MEAR,35,19,49,14,0.285714286,0,0,14,0.285714286
MJAR,27,15,38,11,0.289473684,0,0,11,0.289473684
MRM,326,40,459,100,0.217864924,33,0.071895425,133,0.289760349
WAGON,83,27,117,30,0.256410256,4,0.034188034,34,0.290598291
LOGGING,17,10,24,7,0.291666667,0,0,7,0.291666667
MANTRUN,17,9,24,6,0.25,1,0.041666667,7,0.291666667
JSPWIKI,178,24,253,67,0.264822134,8,0.031620553,75,0.296442688
VALIDATOR,61,13,87,26,0.298850575,0,0,26,0.298850575
MYFACES,736,65,1053,276,0.262108262,41,0.038936372,317,0.301044634
